cvep-v1-x	одна м-последовательность со смещениями
cvep-v2-x	разные м-последовательности
cvep-v3		вариант для микроконтроллера без пауз (цель выделена цветом)
cvep-v4		вариант для микроконтроллера, близкий к cvep-v1-40x6x15-3s-symbols, последовательность из 16 предъявлений

p300-v1-x	символ вспыхивает на пол такта
p300-v2-x	символ вспыхивает на целый такт
p300-v3		вариант для микроконтроллера без пауз (цель выделена цветом)
p300-v4		вариант для микроконтроллера, максимально близкий к p300-v2-40x5-3s-square
p300-v5		вариант для микроконтроллера с 6 циклами предъявлений
p300-v6		вариант для микроконтроллера с 12 циклами предъявлений (6 сек)

dev-x		записи с нашего микроконтроллера
